Id;Grup;Edat;Mes;MaDominant;Ciutat;Barcelona;Germans;Altura;Pols;Esport;SO;Windows;Futbol;Equip;Casa2Fib;Casa2Fib2;Transport
1;21;19;Abril;Destre;Folgueroles;No;2;193;75;10;Windows;Sí;Sí;FC Barcelona;1h 30 min;90;Bus, Metro
2;21;19;Gener;Destre;Collbató;No;3;175;71;3;Windows;Sí;No;;1h;60;Bus
3;21;19;Gener;Destre;Sant Joan Despí;No;3;176;69;6;Linux;No;No;;25 min;25;Bus
4;21;19;Gener;Destre;Santa Coloma de Gramanet;No;2;178;65;0;Temple OS;No;No;;1h;60;Metro
5;21;19;Agost;Destre;Banyoles;No;2;176;77;0;OSX;No;No;;33 min;33;Bus, Metro, Caminant
6;21;19;Gener;Destre;Manresa;No;2;171;88;3;Windows;Sí;No;;1:30h;90;Bus
7;21;18;Desembre;Destre;Barcelona;Sí;2;170;76;1;Windows;Sí;No;;15 min;15;Tram
8;21;19;Juny;Destre;Barcelona;Sí;2;170;81;2;Windows;Sí;No;;40 min;40;Metro
9;21;19;Setembre;Destre;Sant Joan Despí;No;2;185;69;8;Windows;Sí;Sí;FC Barcelona;30 min;30;Tram
10;21;19;Juliol;Destre;Barcelona;Sí;1;183;65;4,5;Windows;Sí;Sí;FC Barcelona;50 min;50;Metro, Tren
11;21;19;Febrer;Esquerrà;Hospitalet de Llobregat;No;2;185;75;5;Windows;Sí;Sí;Juventus;30 min;30;Metro
12;21;18;Octubre;Destre;Segur de Calafell;No;2;180;72;2;Windows;Sí;Sí;Betis;2h;120;Moto, Tren, Metro
13;21;19;Maig;Destre;Segur;No;1;172;72;2;Linux;No;Sí;FC Barcelona;1h 30 min;90;Tren, Metro
14;21;19;Gener;Destre;Terrassa;No;2;188;71;10;Windows;Sí;No;;39 min;39;Coche
15;21;19;Juliol;Destre;Badalona;No;1;159;69;2;Linux;No;No;;1h;60;Metro, Bus
16;21;19;Agost;Destre;Sant Andreu de la Barca;No;2;178;75;3;Windows;Sí;No;;30 min;30;Bus, Coche, Tren
17;22;20;Maig;Destre;Sant Feliu de Guíxols;No;2;183;76;2,5;Linux;No;No;;30 min;30;Metro
18;22;19;Setembre;Esquerrà;Barcelona;Sí;3;177;84;3;Windows;Sí;No;;20 min;20;Bicing
19;22;19;Març;Destre;Castellbisbal;No;1;189;80;0;Windows;Sí;No;;40 min;40;Bus, Coche, Tren, Tram
20;22;19;Juny;Destre;Hospitalet de Llobregat;No;2;175;77;4;Windows 10;Sí;No;;30 min;30;Bus, Metro
21;22;19;Agost;Destre;Igualada;No;3;185;50;15;Windows;Sí;No;;1h;60;Bus
22;22;18;Desembre;Destre;Sant Cugat del Vallès;No;3;169;70;3;Windows;Sí;Sí;FC Barcelona;1h;60;FGC
23;22;19;Agost;Destre;Castellbisbal;No;2;189;61;10;Windows;Sí;Sí;FC Barcelona;40 min;40;Bus, Coche
24;22;53;Juny;Destre;Barcelona;Sí;4;;64;3;Windows;Sí;Sí;VfB Stuttgart;35 o 25 min;30;Bus o bici
25;22;19;Maig;Destre;Olot;No;2;170;70;4,5;Windows;Sí;No;;30 min;30;Transport públic/ a peu
26;22;19;Març;Destre;Hospitalet de Llobregat;No;2;177;95;4;Windows;Sí;Sí;FC Barcelona;30 min;30;Bus, Metro
