SÃ£o Paulo,s portugues,Portugal,,,,,,,,,,,,,,,,,
"Lemonade (feat. Gunna, Don Toliver & NAV)",s ingles,Portugal,Alemania,Austria,,,,,,,,,,,,,,,
Mood (feat. iann dior),s ingles,Portugal,Alemania,Austria,,,,,,,,,,,,,,,
inesquecí­vel,s portugues,Portugal,,,,,,,,,,,,,,,,,
Lonely (with Benny blanco),s ingles,Portugal,Alemania,Austria,Belgica,Dinamarca,,,,,,,,,,,,,
Fica,s portugues,Portugal,,,,,,,,,,,,,,,,,
positions,s ingles,Portugal,Alemania,Austria,Belgica,Dinamarca,,Finlandia,Francia,Grecia,Irlanda,Islandia,,Noruega,Paises Bajos,Reino Unido,Suecia,Suiza,Luxemburgo
Therefore I Am,s ingles,Portugal,Alemania,Austria,Belgica,Dinamarca,,Finlandia,,Grecia,Irlanda,Islandia,Italia,Noruega,Paises Bajos,Reino Unido,Suecia,Suiza,Luxemburgo
What You Know Bout Love,s ingles,Portugal,Alemania,Austria,,,,,,,,,,,,,,,
For The Night (feat. Lil Baby & DaBaby),s ingles,Portugal,Alemania,Austria,,,,,,,,,,,,,,,
Monster (Shawn Mendes & Justin Bieber),s ingles,Portugal,Alemania,,Belgica,Dinamarca,,,,,,,,,,,,,
Ronaldo,s portugues,Portugal,,,,,,,,,,,,,,,,,
Dakiti,s espa�ol,Portugal,,,,,esp,,,,,,Italia,,,,,Suiza,Luxemburgo
HawÃ¡i,s espa�ol,Portugal,,,,,esp,,,,,,,,,,,,
Mood Suings (feat. Lil Tjay),s ingles,Portugal,,,,,,,,,,,,,,,,,
Dynamite,n koreano,Portugal,Alemania,Austria,Belgica,,,Finlandia,Francia,Grecia,Irlanda,,Italia,Noruega,Paises Bajos,Reino Unido,,Suiza,Luxemburgo
Prisoner (feat. Dua Lipa),s ingles,Portugal,Alemania,,,,,,,,,,,,,,,,
Watermelon Sugar,s ingles,Portugal,,Austria,,,,,,,,,,,,,,,
Te Amo,s portugues,Portugal,,,,,,,,,,,,,,,,,
Blinding Lights,s ingles,Portugal,Alemania,Austria,Belgica,Dinamarca,,Finlandia,,Grecia,Irlanda,Islandia,,Noruega,Paises Bajos,Reino Unido,Suecia,Suiza,Luxemburgo
Nada a Esconder,s portugues,Portugal,,,,,,,,,,,,,,,,,
Head & Heart (feat. MNEK),s ingles,Portugal,Alemania,Austria,,,,,,,,,,,,,,,
Galileu,s portugues,Portugal,,,,,,,,,,,,,,,,,
Life Goes On,s ingles,Portugal,Alemania,,Belgica,,,Finlandia,,Grecia,,,,,,Reino Unido,,Suiza,Luxemburgo
ROCKSTAR (feat. Roddy Ricch),s ingles,Portugal,Alemania,Austria,,,,,,,,,,,,,,,
"Tempo (feat. T-Rex, LON3R JOHNY & BISPO)",s portugues,Portugal,,,,,,,,,,,,,,,,,
The City Is a Jungle,s ingles,Portugal,,,,,,,,,,,,,,,,,
VianaViceCity,s portugues,Portugal,,,,,,,,,,,,,,,,,
Breaking Me,s ingles,Portugal,,Austria,Belgica,,,,,,,,Italia,,,,Suecia,Suiza,Luxemburgo
Resort,s ingles,Portugal,,,,,,,,,,,,,,,,,
Laugh Now Cry Later (feat. Lil Durk),s ingles,Portugal,,,,,,,,,,,,,,,,,
UN DIA (ONE DAY) (feat. Tainy),s ingles,Portugal,,,,,,,,,,,,,,,,,
WAP (feat. Megan Thee Stallion),s ingles,Portugal,,Austria,,,,,,,,,,,,,,,
The Woo (feat. 50 Cent & Roddy Ricch),s ingles,Portugal,,,,,,,,,,,,,,,,,
Oh Juliana,s portugues,Portugal,,,,,,,,,,,,,,,,,
you broke me first,s ingles,Portugal,Alemania,Austria,Belgica,Dinamarca,,Finlandia,,,Irlanda,Islandia,,Noruega,Paises Bajos,Reino Unido,Suecia,Suiza,
Take You Dancing,s ingles,Portugal,Alemania,Austria,Belgica,,,Finlandia,,,Irlanda,Islandia,,Noruega,Paises Bajos,Reino Unido,,Suiza,Luxemburgo
Fly To My Room,s ingles,Portugal,,,,,,,,Grecia,,,,,,Reino Unido,,,
Dado,s portugues,Portugal,,,,,,,,,,,,,,,,,
Vai Ter Que Aguentar,s portugues,Portugal,,,,,,,,,,,,,,,,,
Blue & Greeceey,n koreano,Portugal,,,,,,,,Grecia,,,,,,,,,
Put Your Records On,s ingles,Portugal,,Austria,Belgica,Dinamarca,,,,,Irlanda,Islandia,,Noruega,Paises Bajos,Reino Unido,Suecia,,Luxemburgo
Heather,s ingles,Portugal,,,,,,,,,,,,,,,,,
34+35,s ingles,Portugal,,,,,,,,,Irlanda,,,,,Reino Unido,,,
Comprei um LanÃ§a,s portugues,Portugal,,,,,,,,,,,,,,,,,
Freaky,s ingles,Portugal,,,,,,,,,,,,,,,,,
Telepathy,s ingles,Portugal,,,,,,,,,,,,,,,,,
00 Fala Bonito,s portugues,Portugal,,,,,,,,,,,,,,,,,
Festa,s portugues,Portugal,,,,,,,,,,,,,,,,,
Dis-ease,n koreano,Portugal,,,,,,,,Grecia,,,,,,,,,
Down,s aleman,,Alemania,,,,,,,,,,,,,,,Suiza,
Woher (feat. Sido),s aleman,,Alemania,,,,,,,,,,,,,,,,
Angeklagt,s aleman,,Alemania,Austria,,,,,,,,,,,,,,Suiza,Luxemburgo
gebe auf.,s aleman,,Alemania,Austria,,,,,,,,,,,,,,,
Gestern nix heute Star (feat. Samra),s aleman,,Alemania,,,,,,,,,,,,,,,,
Ohne Dich,s aleman,,Alemania,,,,,,,,,,,,,,,Suiza,
100 BARS FINAL KILL,s aleman,,Alemania,,,,,,,,,,,,,,,Suiza,
Kennst du das ?!,s aleman,,Alemania,Austria,,,,,,,,,,,,,,Suiza,
Paradise,s ingles,,Alemania,Austria,,,,,,,,,,,,,,,
Head Shoulders Knees & Toes (feat. Norma Jean Martine),s ingles,,Alemania,Austria,,,,,,,,,,,,,,,
Habibi,s aleman,,Alemania,,,,,,,,,,,,,,,,
Wir sind dir TÃ¤ter,s aleman,,Alemania,,,,,,,,,,,,,,,,
Am Boden bleiben,s aleman,,Alemania,,,,,,,,,,,,,,,,
All We Got (feat. KIDDO),s ingles,,Alemania,Austria,,,,,,,,,,,,,,,
Monet,s aleman,,Alemania,,,,,,,,,,,,,,,,
Goosebumps,s ingles,,Alemania,,,,,,,,,,,,,,,,
Paradise (feat. Dermot Kennedy),s ingles,,Alemania,Austria,,,,,,,,,,,,,,,
Bist du Okay,s aleman,,Alemania,,,,,,,,,,,,,,,,
Kollektiv,s aleman,,Alemania,Austria,,,,,,,,,,,,,,,
Unterwegs,n koreano,,Alemania,Austria,,,,,,,,,,,,,,,
Elbe,s aleman,,Alemania,,,,,,,,,,,,,,,,
Tut mir nicht leid,s aleman,,Alemania,,,,,,,,,,,,,,,,
